word,explanation
frizzy,"KK[ˋfrɪzɪ]
DJ[ˋfrizi]
比較級：frizzier   最高級：frizziest
frizzy的形容詞比較級
frizzy的形容詞最高級
IPA[ˈfrɪzi]
滿是小捲兒的
frizzy-haired 滿頭捲髮的
蜷縮的
PyDict"
downpour,"KK[ˋdaʊn͵por]
DJ[ˋdaunpɔ:]
名詞複數：downpours
n.[C]
可數名詞
傾盆大雨，豪雨
She was drenched by the sudden downpour. 她被那場突然下的傾盆大雨淋得濕透。
（日光的）大量照射
n. 傾盆大雨，豪雨
downpour的名詞複數
傾盆大雨
PyDict"
soaked,"KK[sokt]
DJ[səukt]
【俚】酒醉的；醉倒了的
濕透的
浸濕
PyDict
浸泡，浸漬[（+in）]
She soaked the dirty clothes in cold water. 她將髒衣服浸泡在冷水裡。
浸泡，浸漬[（+in）]
浸泡，浸漬
Give the clothes a long soak before washing. 洗之前先將衣服多泡一些時間。
soak的名詞複數
打濕; 弄濕
to soak sb. to the skin 使某人渾身濕透
to be/get soaked  濕透
浸泡
to leave a garment to soak 把衣服放在一邊泡著
she spent some time soaking in a hot bath 她泡了一會兒熱水澡
濕透
to soak oneself from head to foot 渾身濕透
浸泡
to give sth. a soak 把某物泡一泡
to have a soak 泡個澡
被…浸透的; 血流成河的
bloodsoak 浸透血的
rain/dewsoak 被雨／露水打濕的
浸,濕透,大雨使上下濕透,浸,吸入,吸收,浸出浸泡,滲透
PyDict
浴血的；被血浸透的
His blood-soaked clothes provided evidence of the crime he committed. 他被血浸透的衣服為他的犯案提供了證據。
water-soak的動詞過去式、過去分詞"
pellets,"顆粒狀物；小球，丸[（+of）]
The rat poison comes in small pellets. 滅鼠藥是做成丸狀的。
將……製成丸狀
pellet的動詞現在分詞、動名詞
pellet的動詞過去式、過去分詞
顆粒狀物
paper/wax pellets 小紙團／蠟丸
pellets of dung 糞粒
加藥丸
PyDict
圓球,小子彈,小藥丸弄成球狀,扔小球
PyDict
殺蛞蝓藥丸"
geographic,"KK[dʒɪəˋgræfɪk]
DJ[dʒiəˋgræfik]
地理環境
PyDict
地極
PyDict
IPA[ˌdʒɪəˈgræfɪk]
地理的; 地理學的
地理學的
PyDict"
blizzard,"KK[ˋblɪzɚd]
DJ[ˋblizəd]
名詞複數：blizzards
n.[C]
可數名詞
大風雪，暴風雪
暴風雪似的一陣；大量（或大批）[S1][（+of）]
a blizzard of letters 雪片般的信件
blizzard的名詞複數
黑色風暴（廣闊平原上一種沙塵風暴，發生時可遮天蔽地非常驚人）
黑色風暴（廣闊平原上一種沙塵風暴，發生時可遮天蔽地非常驚人）
IPA[ˈblɪzəd]
暴風雪
大風雪,暴風雪
PyDict"
tornado,"KK[tɔrˋnedo]
DJ[tɔ:ˋneidəu]
名詞複數：tornadoes, tornados
n.[C]
可數名詞
龍捲風；旋風；颶風
A tornado whirled into town. 龍捲風刮進了城裡。
（非洲西部的）大雷颮
n. 旋風；暴風（雨）
tornado的名詞複數
tornado的名詞複數
活動房屋（指龍捲風地區的臨時房屋或房式拖車）
活動房屋（指龍捲風地區的臨時房屋或房式拖車）
IPA[tɔːˈneɪdəʊ]
龍捲風
旋風,龍卷風,大雷雨
PyDict"
meteorologist,"KK[͵mitɪəˋrɑlədʒɪst]
DJ[͵mi:tjəˋrɔlədʒist]
n.
名詞
氣象學者
It takes a meteorologist to explain why the typhoon made a sudden turn. 只有氣象學者才能解釋颱風為何轉向。
IPA[ˌmiːtɪəˈrɒlədʒɪst]
氣象學家
氣象學者
PyDict"
uphill,"KK[ˋʌpˋhɪl]
DJ[ˋʌpˋhil]
a.[Z
a.[Z
位於高處的
This is an uphill village. 村子位於高坡上。
上升的，向上的；上坡的
an uphill path 上坡路
艱難的，費力的
This is hard, uphill work. 這是艱難且費力的活。
adv.
副詞
往上坡；往山上
The soldiers walked uphill. 士兵們向山上走去。
n.
名詞
登高，上升；上坡
「a. 上升的；上坡的」的反義字
苦戰；硬戰
He fully realized that completing a Ph.D. degree is an uphill battle for him. 他充分意識到要完成博士學位對他來說是一場苦戰。
苦戰；硬戰
He fully realized that completing a Ph.D. degree is an uphill battle for him. 他充分意識到要完成博士學位對他來說是一場苦戰。
走上坡路
PyDict
IPA[ʌpˈhɪl]
上坡的
朝上坡方向
the path led or ran uphill 這條小徑沿著山坡向上延伸"
shiver,"KK[ˋʃɪvɚ]
DJ[ˋʃivə]
過去式：shivered   過去分詞：shivered   現在分詞：shivering
名詞複數：shivers
vi.
不及物動詞
發抖，打顫[（+with）]
As the temperature dropped abruptly, the campers were shivering all over with cold. 由於氣溫驟降，野營者冷得渾身發抖。
發出顫聲
n.
名詞
顫抖[C]
The breeze gave a shiver to the surface of the lake. 微風吹得湖面顫動。
寒顫[the P]
That strange noise gave me the shivers. 那奇怪的響聲使我不寒而慄。
vi. 打顫
顫抖；發抖
顫抖的；使顫抖的
shiver的名詞複數
shiver的動詞過去式、過去分詞
顫抖的
PyDict
使戰慄
Snakes give me the shivers. 蛇令我毛骨悚然。
KK[ˋʃɪvɚ]
DJ[ˋʃivə]
打碎，粉碎
He shivered the mirror with a hammer. 他用錘子將鏡子砸得粉碎。
被打碎，碎裂
A statue fell, and shivered on the stones. 一尊塑像倒下，砸在石頭上打碎了。
碎片[P1]
A boat was smashed to shivers on the rocks. 一條船撞在礁石上被砸得粉碎。
碎片
I cut myself on a small shiver of glass 我被一片碎玻璃劃傷了
碎裂
打碎
shiver my timbers! 真是活見鬼！
IPA[ˈʃɪvə(r)]
顫抖
to shiver with cold/fever 冷得發抖／因發燒打寒戰
to shiver with fear/excitement/disgust 嚇得／激動得／厭惡得發抖
顫抖
to send a shiver down sb.'s spine 使某人不寒而慄
to give a shiver 哆嗦一下
寒戰; 嚇得某人發抖
an attack of the shivers 一陣寒戰
to give sb. the shivers 使某人打寒戰
顫抖,哆嗦,被打碎使迎風飄動,粉碎戰栗,碎塊
PyDict"
thunderstorms,"大雷雨[C]
雷暴雨
PyDict
【氣】單細胞雷暴
【氣】單細胞雷暴
【氣】單細胞雷暴
【氣】單細胞雷暴
驚慌失措
PyDict"
gusty,"KK[ˋgʌstɪ]
DJ[ˋgʌsti]
比較級：gustier   最高級：gustiest
adj.
形容詞
陣風的；刮風的；突發的
It's a gusty day today. 今天刮大風。
gusty winds 陣陣大風
IPA[ˈgʌsti]
颳陣風的; 一陣陣吹的
陣陣猛急的,突發的
PyDict"
rotating,"旋轉，轉動[（+around）]
The earth rotates from west to east. 地球從西向東旋轉。
使旋轉，使轉動
【植】輻狀的
rotate的動詞過去式、過去分詞
旋轉
使…旋轉
旋轉,循環
PyDict
左旋90度
PyDict
右旋90度
PyDict
輪流值班
PyDict
文字由上至下排列
PyDict
轉動
PyDict"
puffy,"KK[ˋpʌfɪ]
DJ[ˋpʌfi]
比較級：puffier   最高級：puffiest
adj.
形容詞
脹大的；肥滿的
喘氣的；（風）陣陣吹的
自傲的
a. 脹大的；誇張的
puffy的形容詞最高級
puffy的形容詞比較級
【俚】眼睛浮腫的
IPA[ˈpʌfi]
腫脹的; 浮腫的; 鼓脹的
脹大的,肥滿的,喘氣的,一陣陣吹的
PyDict"
powdery,"KK[ˋpaʊdərɪ]
DJ[ˋpaudəri]
IPA[ˈpaʊdəri]
粉狀的
粉的,粉狀的,滿是粉的
PyDict"
drizzle,"KK[ˋdrɪz!]
DJ[ˋdrizl]
過去式：drizzled   過去分詞：drizzled   現在分詞：drizzling
vi.
不及物動詞
下毛毛雨
n.
名詞
毛毛雨
n. 毛毛雨
drizzle的動詞現在分詞、動名詞
drizzle的動詞過去式、過去分詞
IPA[ˈdrɪzl]
毛毛雨
下毛毛雨
it's drizzling 正在下毛毛雨
灑
to drizzle the salad with oil 往色拉上灑點兒油
細雨下毛毛雨
PyDict"
humidifier,"KK[hjuˋmɪdə͵faɪɚ]
DJ[hju:ˋmidifaiə]
IPA[hjuːˈmɪdɪfaɪə(r)]
加濕器
增濕器,濕潤器
PyDict"
overcast,"KK[ˋovɚ͵kæst]
DJ[ˋəuvəkɑ:st]
過去式：overcast   過去分詞：overcast   現在分詞：overcasting
adj.
形容詞
（被雲等）遮蔽的；多雲的，陰的
The sky became suddenly overcast with clouds. 烏雲密布，天空突然暗下來。
沮喪的；憂鬱的；情緒低落的
His handsome countenance was overcast. 他那英俊的面容陰沉沮喪。
包邊縫紉的，縫邊的
vt.
及物動詞
（雲等）遮蔽（天空等），使陰
The smoky haze overcast the distant mountains. 煙霧籠罩著遠處的群山。
使沮喪；使憂鬱
The existence of evil overcasts life. 邪惡的存在使人生變得陰暗。
包縫（邊）
vi.
不及物動詞
變多雲，變陰
It began to overcast. 天開始變陰了。
變得沮喪（或憂鬱）
n.[U]
不可數名詞
陰，陰天
All day today there was a heavy overcast. 今天一整天都是陰天。
沮喪；憂鬱
overcast的動詞過去式、過去分詞
a. 陰的；沮喪的；憂鬱的
【氣】陰轉多雲
【氣】晴轉多雲
【氣】陰轉多雲
【氣】晴轉多雲
IPA[ˌəʊvəˈkɑːst]
多雲的
陰天的,陰暗的,愁悶的
PyDict"
hail,"KK[hel]
DJ[heil]
過去式：hailed   過去分詞：hailed   現在分詞：hailing
名詞複數：hails
vt.
及物動詞
向……歡呼；為……喝采
The people lined the street to hail the invincible general. 人們排列在街的兩旁向常勝將軍歡呼。
承認……為；擁立[（+as）]
They hailed him king. 他們擁立他為王。
招呼
An old friend hailed me from across the street. 一個老朋友在馬路對面和我打招呼。
vi.
不及物動詞
招呼；招呼致意
（不用被動式）來自[（+from）]
n.
名詞
歡呼；打招呼[C][U]
The youngsters greeted their idol with a hail. 年輕人向他們的偶像歡呼致敬。
int.
感嘆詞
（表示歡呼，祝賀等）好啊；歡迎
vi. 歡呼
hail的動詞過去式、過去分詞
hail的名詞複數
來自
They hail from all parts of the country. 他們來自全國各地。
在招呼能及的地方
（天主教祈禱辭）萬福馬利亞；聖母經
I'll say three Hail Marys if you catch this long pass. 如果你接到這個傳球的話，我要說三聲萬福瑪麗。
KK[hel]
DJ[heil]
雹，冰雹[U]
下冰雹
It hailed the whole afternoon. 整個下午冰雹下個不停。
使像冰雹般落下[（+on/upon）]
They hailed blows upon the guy. 他們將那個傢伙亂打一通。
招呼
within hailing distance 在聽得見招呼的距離內
歡迎
hail the conquering hero! 向所向披靡的英雄致敬！
IPA[heɪl]
雹; 雹暴
下冰雹
it's hailing 正在下冰雹
使冰雹般落下
to hail curses on sb. 痛罵某人
to hail blows on an opponent 把對手亂打一通
冰雹,致敬,招呼向…歡呼,致敬,招呼,使象下雹樣落下招呼
PyDict"
triple,"KK[ˋtrɪp!]
DJ[ˋtripl]
名詞複數：triples
過去式：tripled   過去分詞：tripled   現在分詞：tripling
adj.
形容詞
三倍的；三重的
He received triple pay for his extra work. 他因超額工作得到三倍的報酬。
由三部分構成的；三方的
n.[C]
可數名詞
三倍數；三倍量
Twelve is the triple of four. 十二是四的三倍數。
三個一組
【棒】三壘打
vt.
及物動詞
使成三倍，三倍於
In the past five years the company has tripled its sales. 過去五年中，該公司銷售量增至三倍。
vi.
不及物動詞
增至三倍
His income tripled in three years. 三年中，他的收入增至三倍。
a. 三倍的，三重的，三元的
a. 三（式，色，味，邊……）的
a. 三重的，一式三份的
n. 三個一套的東西
vt. 使成三倍
triple的動詞過去式、過去分詞
triple的動詞現在分詞、動名詞
triple的名詞複數
= triple measure
三級跳遠
【音】三拍子
【棒】使攻方三個球員同時被殺出局，三殺
IPA[ˈtrɪpl]
有三部分的; 三重的
a triple murder/alliance 三重謀殺／三方同盟
成為三倍
to triple in volume/value 容量／價值增至三倍
to triple in height/width 高度／寬度增加兩倍
使…增至三倍
三倍地
to triple the speed/price/amount 三倍的速度／價格／數量
三倍之數,三個一組三倍的三倍與增至三倍
PyDict"
blast,"KK[blæst]
DJ[blɑ:st]
名詞複數：blasts
過去式：blasted   過去分詞：blasted   現在分詞：blasting
n.
名詞
（一陣）疾風（或氣流等）[C]
A blast of wind blew my hat off. 一陣風吹走了我的帽子。
（喇叭等的）突然吹奏[C]
He gave a blast on his trumpet. 他突然吹起喇叭。
A blast of the trumpet gave her a start. 突然發出的喇叭聲嚇了她一跳。
爆炸，爆破[C]
衝擊波，氣浪[U]
【美】【俚】狂歡會[C]；狂歡
That was a great party. I had a blast. 那個宴會很棒，我玩得盡興極了。
猛烈的批評；狠狠的一擊[C]
The leader of the opposition delivered a blast at the President. 反對黨領袖對總統進行了猛烈抨擊。
vt.
及物動詞
炸開，炸出，炸掉[O]
The front gate was blasted open with a cannon. 前門被大砲轟開了。
使枯萎，損毀
The dry hot wind blasted the seedlings. 乾熱的風使秧苗枯萎。
吹奏
The taxi-driver blasted the horn continuously. 計程車司機不停地按喇叭。
嚴厲批評；強烈譴責
The newspapers blasted the political corruption. 報紙對政治腐敗加以強烈譴責。
噴出，爆發出
（後接it或其他受詞）詛咒
擊斃[（+down）]
The bandit was blasted down. 匪徒被擊斃。
vi.
不及物動詞
爆炸；轟擊
猛烈抨擊
飛速行進
The truck blasted toward the terminal. 卡車向終點疾馳。
n. 爆炸，爆破
枯萎的
blast的名詞複數
該死的
this blasted weather! 這鬼天氣！
枯萎的,被害了的,被咒的
PyDict
(指宇宙飛船)被火箭發射出
Apollo II blasted off at noon. 阿波羅2號於中午發射升空。
群發傳真（指發送給多名接收者的傳真）
【冶】高爐，鼓風爐
IPA[blɑːst]
爆炸
blast effect 爆炸後果
炸
to be blasted into oblivion 被炸得無影無蹤
突然鳴響
trumpets blasted, horns sounded 喇叭高奏,號角齊鳴
該死
陣,一陣風,爆炸,枯萎病炸,使枯萎猛攻,公開批評,枯萎
PyDict"
drizzling,"下毛毛雨
毛毛雨
drizzle的動詞過去式、過去分詞
毛毛雨
下毛毛雨
it's drizzling 正在下毛毛雨
灑
to drizzle the salad with oil 往色拉上灑點兒油
細雨下毛毛雨
PyDict"
brisk,"KK[brɪsk]
DJ[brisk]
比較級：brisker   最高級：briskest
過去式：brisked   過去分詞：brisked   現在分詞：brisking
adj.
形容詞
活潑的，生氣勃勃的
輕快的，快的
He is a brisk walker. 他是個走路輕快的人。
興旺的，繁榮的
Sales are amazingly brisk. 銷售出奇地興旺。
尖刻辛辣的
She spoke in a brisk tone of voice. 她用尖刻的語調說話。
（酒）起泡的，味濃而可口的
（天氣，風）寒冷而清新的
vt.
及物動詞
使輕快；使活躍；使興旺[（+up）]
He brisked up his pace. 他加快了步子。
vi.
不及物動詞
變得輕快；活躍起來；興旺起來[（+up）]
I believe that the market will brisk up. 我相信市場會活躍起來。
a. 活潑的，生氣勃勃的
a. 涼爽的，清新的
「a. 活潑的；輕快的」的反義字
brisk的形容詞最高級
brisk的形容詞比較級
輕快活潑的(比較級)
PyDict
輕快活潑的(最高級)
PyDict
興旺發達起來
PyDict
IPA[brɪsk]
輕快的
to go for a brisk walk 去快步走
敏銳的,凜冽的,活潑的使活潑活躍起來
PyDict"
partly,"KK[ˋpɑrtlɪ]
DJ[ˋpɑ:tli]
adv.
副詞
部分地；不完全地；在一定程度上
a partly-finished building 部分建成的房屋
We are all partly to blame. 我們都負有一部分責任。
「ad. 部分地；少許」的反義字
部分多雲（天空明顯出現許多雲量，但是沒有使天空變暗的一種天氣狀態）
部分多雲（天空明顯出現許多雲量，但是沒有使天空變暗的一種天氣狀態）
IPA[ˈpɑːtli]
在一定程度上; 部分地
在一定程度上,部分地,不完全地
PyDict"
scorching,"KK[ˋskɔrtʃɪŋ]
DJ[ˋskɔ:tʃiŋ]
adj.
形容詞
灼熱的
Better not go to Beijing in the Summer, as the weather can be scorching over there. 最好不要在夏天去北京，因那兒可以非常酷熱。
（語言等）尖刻的；激烈的
scorch的動詞現在分詞、動名詞
IPA[ˈskɔːtʃɪŋ]
酷熱的
scorching (hot) 灼熱的
灼熱的,激烈的
PyDict"
evaporating,"使蒸發；使揮發
The sun soon evaporated the morning dew. 太陽很快蒸發了晨露。
蒸發；揮發
The pool of water evaporated in the sun. 那一灘水在太陽照射下蒸發掉了。
evaporate的動詞過去式、過去分詞
蒸發
使蒸發
濃縮的,脫水的
PyDict
蒸發,失去水分,消失使蒸發
PyDict
煉乳
煉乳
甜煉乳
蒸發用的,蒸發作用的
PyDict"
landfall,"KK[ˋlænd͵fɔl]
DJ[ˋlændfɔ:l]
n.
名詞
著陸；登陸
At this point we still don't know when the typhoon will make its landfall. 目前我們仍不知道颱風什麼時候會著陸。
（遠洋航行時）初見陸地（或接近陸地）
著陸
PyDict"
slushy,"KK[ˋslʌʃɪ]
DJ[ˋslʌʃi]
比較級：slushier   最高級：slushiest
adj.
形容詞
泥濘的
n.
名詞
【俚】船上的廚子；【澳】廚子的助手
slushy的形容詞最高級
slushy的形容詞比較級
IPA[ˈslʌʃi]
半融化的
融雪的,泥濘的,無價值的
PyDict"